Player,MVP,ASG,Rings,DPOY,FMVP,Pic

Kareem Abdul-Jabbar,6,19,6,0,2,https://www.basketball-reference.com/req/202106291/images/players/abdulka01.jpg

Michael Jordan,5,14,6,1,6,https://www.basketball-reference.com/req/202106291/images/players/jordami01.jpg

Bill Russell,5,12,11,0,0,https://www.basketball-reference.com/req/202106291/images/players/russebi01.jpg

Wilt Chamberlain,4,13,2,0,1,https://www.basketball-reference.com/req/202106291/images/players/chambwi01.jpg

LeBron James,4,18,4,0,4,https://www.basketball-reference.com/req/202106291/images/players/jamesle01.jpg

Larry Bird,3,12,3,0,2,https://www.basketball-reference.com/req/202106291/images/players/birdla01.jpg

Magic Johnson,3,12,5,0,3,https://www.basketball-reference.com/req/202106291/images/players/johnsma02.jpg

Moses Malone,3,12,1,0,1,https://www.basketball-reference.com/req/202106291/images/players/malonmo01.jpg

Giannis Antetokounmpo,2,6,1,1,1,https://www.basketball-reference.com/req/202106291/images/players/antetgi01.jpg

Stephen Curry,2,8,4,0,1,https://www.basketball-reference.com/req/202106291/images/players/curryst01.jpg

Tim Duncan,2,15,5,0,3,https://www.basketball-reference.com/req/202106291/images/players/duncati01.jpg

Nikola Jokić,2,4,0,0,0,https://www.basketball-reference.com/req/202106291/images/players/jokicni01.jpg

Karl Malone,2,14,0,0,0,https://www.basketball-reference.com/req/202106291/images/players/malonka01.jpg

Steve Nash,2,8,0,0,0,https://www.basketball-reference.com/req/202106291/images/players/nashst01.jpg

Bob Pettit,2,11,1,0,0,https://www.basketball-reference.com/req/202106291/images/players/pettibo01.jpg

Charles Barkley,1,11,0,0,0,https://www.basketball-reference.com/req/202106291/images/players/barklch01.jpg

Kobe Bryant,1,18,5,0,2,https://www.basketball-reference.com/req/202106291/images/players/bryanko01.jpg

Bob Cousy,1,13,6,0,0,https://www.basketball-reference.com/req/202106291/images/players/cousybo01.jpg

Dave Cowens,1,8,2,0,0,https://www.basketball-reference.com/req/202106291/images/players/cowenda01.jpg

Kevin Durant,1,12,2,0,2,https://www.basketball-reference.com/req/202106291/images/players/duranke01.jpg

Julius Erving,1,11,1,0,0,https://www.basketball-reference.com/req/202106291/images/players/ervinju01.jpg

Kevin Garnett,1,15,1,1,0,https://www.basketball-reference.com/req/202106291/images/players/garneke01.jpg

